event_name,n_photons,beta2_mean,beta2_sigma
GRB170817A,40485,1.8580826790186233e-06,3.172619853531406e-05
GRB090510,92651,1.4310252653114549e-06,3.355929866695893e-05
GRB130427A,1358771,8.583226659079249e-05,3.1548105159876124e-05
GRB160509A,1303173,3.13551494822319e-05,3.2121177324001877e-05
GRB160625B,1425982,1.4722196654806553e-06,3.261012429790233e-05
GRB190114C,1333540,2.2167148609405966e-06,3.366574555446658e-05
GRB090902B,2029095,8.77474252299969e-05,4.331603613765868e-05
GRB090926A,1750745,0.00022713960182297617,3.979514437895103e-05
